probe_id,target_id,species_unit_structure_type,STRUCTURE_ID,DELTA-G,DELTA-H,DELTA-S,MELTING_TEMPERATURE,CONCENTRATION,PERCENT_BOUND,PERCENT_BOUND(2),TARGET_START_POS,NET_DG,NET_TM
558,558,MONOMER,OPTIMAL,-1.93,-42.3,-126.89,60.21,0.00130772,70.3078,\N,\N,-0.544978,55
558,558,MONOMER,SUBOPTIMAL#1,-1.31,-31.7,-95.521,58.71,0.00049048,26.3699,\N,\N,\N,\N
target_226_250_190_255,target_226_250_190_255,MONOMER,OPTIMAL,-3.52,-53.9,-158.353,67.23,2.12676e-21,7.08921e-12,\N,\N,19.1423,\N
target_226_250_190_255,target_226_250_190_255,HOMODIMER,OPTIMAL,-8.89357,-119.8,-348.598,39.63,8.48611e-41,2.8287e-31,\N,\N,36.4311,\N
558,target_226_250_190_255,HETERODIMER,UNCORRECTED,-27.333,-198.2,-537.064,87.5,\N,\N,\N,\N,\N,\N
558,target_226_250_190_255,HETERODIMER,OPTIMAL,-28.79,-198.2,-532.485,90.53,3e-08,100,0.0016129,1,-23.1142,90
562,562,MONOMER,OPTIMAL,0.22,-15.7,-50.0393,40.6,0.000481532,25.8888,\N,\N,0.664949,\N
562,562,MONOMER,SUBOPTIMAL#1,0.42,-17,-54.754,37.33,0.000350945,18.868,\N,\N,\N,\N
562,562,MONOMER,SUBOPTIMAL#2,0.82,-13.6,-45.3245,26.91,0.00018641,10.022,\N,\N,\N,\N
562,562,MONOMER,SUBOPTIMAL#3,0.92,-22.12,-72.4187,32.3,0.000159139,8.55585,\N,\N,\N,\N
target_2510_2534_337_2799,target_2510_2534_337_2799,MONOMER,OPTIMAL,0.12,-16.2,-51.2966,42.66,6.98636e-28,2.32879e-18,\N,\N,28.5807,\N
target_2510_2534_337_2799,target_2510_2534_337_2799,MONOMER,SUBOPTIMAL#1,0.86,-18.89,-62.0776,31.15,2.16733e-28,7.22443e-19,\N,\N,\N,\N
